,n_markers,domain,species,tool,gene_count,BUSCO_tag,percentage
0,3354,eukaryota,amphiprion_percula,ensembl,23719,Complete,95.2
1,3354,eukaryota,amphiprion_percula,geneidblastx,21336,Complete,52.9
2,3354,eukaryota,amphiprion_percula,augustus,27801,Complete,73.0
3,3354,eukaryota,amphiprion_percula,geneid,35393,Complete,54.4
4,3354,eukaryota,amphiprion_percula,glimmer,41853,Complete,56.9
5,3354,eukaryota,amphiprion_percula,snap,40126,Complete,54.5
6,3354,eukaryota,anabas_testudineus,ensembl,23133,Complete,96.9
7,3354,eukaryota,anabas_testudineus,geneidblastx,17856,Complete,50.3
8,3354,eukaryota,anabas_testudineus,augustus,20528,Complete,69.9
9,3354,eukaryota,anabas_testudineus,geneid,24099,Complete,50.0
10,3354,eukaryota,anabas_testudineus,glimmer,27645,Complete,53.6
11,3354,eukaryota,anabas_testudineus,snap,25670,Complete,48.9
12,3354,eukaryota,anas_platyrhynchos,ensembl,16658,Complete,88.8
13,3354,eukaryota,anas_platyrhynchos,geneidblastx,16814,Complete,51.6
14,3354,eukaryota,anas_platyrhynchos,augustus,21269,Complete,53.6
15,3354,eukaryota,anas_platyrhynchos,geneid,27388,Complete,47.0
16,3354,eukaryota,anas_platyrhynchos,glimmer,63177,Complete,35.5
17,3354,eukaryota,anas_platyrhynchos,snap,65463,Complete,25.3
18,3354,eukaryota,anser_brachyrhynchus,ensembl,15398,Complete,91.1
19,3354,eukaryota,anser_brachyrhynchus,geneidblastx,14254,Complete,58.5
20,3354,eukaryota,anser_brachyrhynchus,augustus,17058,Complete,58.9
21,3354,eukaryota,anser_brachyrhynchus,geneid,25513,Complete,49.1
22,3354,eukaryota,anser_brachyrhynchus,glimmer,60213,Complete,39.0
23,3354,eukaryota,anser_brachyrhynchus,snap,68795,Complete,36.5
24,3354,eukaryota,anser_cygnoides,ensembl,15312,Complete,90.6
25,3354,eukaryota,anser_cygnoides,geneidblastx,14172,Complete,57.6
26,3354,eukaryota,anser_cygnoides,augustus,17054,Complete,59.0
27,3354,eukaryota,anser_cygnoides,geneid,25347,Complete,49.9
28,3354,eukaryota,anser_cygnoides,glimmer,62336,Complete,39.6
29,3354,eukaryota,anser_cygnoides,snap,70081,Complete,36.6
30,3354,eukaryota,apteryx_haastii,ensembl,16482,Complete,88.9
31,3354,eukaryota,apteryx_haastii,geneidblastx,15356,Complete,55.4
32,3354,eukaryota,apteryx_haastii,augustus,19199,Complete,54.1
33,3354,eukaryota,apteryx_haastii,geneid,28209,Complete,45.4
34,3354,eukaryota,apteryx_haastii,glimmer,65829,Complete,39.9
35,3354,eukaryota,apteryx_haastii,snap,72327,Complete,35.7
