species,taxonID,score,species_space
amphiprion_percula,161767,0.544,Amphiprion percula
anabas_testudineus,64144,0.5,Anabas testudineus
anas_platyrhynchos,8839,0.47,Anas platyrhynchos
anser_brachyrhynchus,132585,0.491,Anser brachyrhynchus
anser_cygnoides,8845,0.499,Anser cygnoides
apteryx_haastii,8823,0.45399999999999996,Apteryx haastii
apteryx_rowi,308060,0.469,Apteryx rowi
aquila_chrysaetos_chrysaetos,223781,0.508,Aquila chrysaetos chrysaetos
astatotilapia_calliptera,8154,0.52,Astatotilapia calliptera
astyanax_mexicanus,7994,0.413,Astyanax mexicanus
athene_cunicularia,194338,0.43799999999999994,Athene cunicularia
balaenoptera_musculus,9771,0.541,Balaenoptera musculus
betta_splendens,158456,0.489,Betta splendens
bos_grunniens,30521,0.579,Bos grunniens
bos_taurus,9913,0.574,Bos taurus
cairina_moschata_domestica,1240228,0.519,Cairina moschata domestica
calidris_pugnax,198806,0.525,Calidris pugnax
camarhynchus_parvulus,87175,0.509,Camarhynchus parvulus
canis_lupus_dingo,286419,0.503,Canis lupus dingo
canis_lupus_familiaris,9615,0.59,Canis lupus familiaris
catharus_ustulatus,91951,0.502,Catharus ustulatus
cavia_aperea,37548,0.353,Cavia aperea
cavia_porcellus,10141,0.613,Cavia porcellus
chinchilla_lanigera,34839,0.629,Chinchilla lanigera
chlorocebus_sabaeus,60711,0.612,Chlorocebus sabaeus
clupea_harengus,7950,0.33299999999999996,Clupea harengus
corvus_moneduloides,1196302,0.519,Corvus moneduloides
cottoperca_gobio,56716,0.46399999999999997,Cottoperca gobio
coturnix_japonica,93934,0.568,Coturnix japonica
crocodylus_porosus,8502,0.425,Crocodylus porosus
cyclopterus_lumpus,8103,0.449,Cyclopterus lumpus
danio_rerio,7955,0.426,Danio rerio
denticeps_clupeoides,299321,0.43,Denticeps clupeoides
dicentrarchus_labrax,13489,0.48200000000000004,Dicentrarchus labrax
dromaius_novaehollandiae,8790,0.45,Dromaius novaehollandiae
echeneis_naucrates,173247,0.46299999999999997,Echeneis naucrates
equus_caballus,9796,0.579,Equus caballus
erpetoichthys_calabaricus,27687,0.331,Erpetoichthys calabaricus
esox_lucius,8010,0.429,Esox lucius
felis_catus,9685,0.529,Felis catus
gadus_morhua,8049,0.319,Gadus morhua
gallus_gallus,9031,0.547,Gallus gallus
gambusia_affinis,33528,0.457,Gambusia affinis
gasterosteus_aculeatus,69293,0.5589999999999999,Gasterosteus aculeatus
gopherus_evgoodei,1825980,0.508,Gopherus evgoodei
gouania_willdenowi,441366,0.384,Gouania willdenowi
homo_sapiens,9606,0.615,Homo sapiens
junco_hyemalis,40217,0.474,Junco hyemalis
kryptolebias_marmoratus,37003,0.479,Kryptolebias marmoratus
lepidothrix_coronata,321398,0.504,Lepidothrix coronata
lepisosteus_oculatus,7918,0.522,Lepisosteus oculatus
lonchura_striata_domestica,299123,0.503,Lonchura striata domestica
loxodonta_africana,9785,0.5720000000000001,Loxodonta africana
lynx_canadensis,61383,0.517,Lynx canadensis
macaca_fascicularis,9541,0.536,Macaca fascicularis
macaca_mulatta,9544,0.56,Macaca mulatta
malurus_cyaneus_samueli,2593467,0.5,Malurus cyaneus samueli
mastacembelus_armatus,205130,0.46799999999999997,Mastacembelus armatus
maylandia_zebra,106582,0.522,Maylandia zebra
mus_caroli,10089,0.633,Mus caroli
mus_musculus,10090,0.603,Mus musculus
mus_pahari,10093,0.638,Mus pahari
myripristis_murdjan,586833,0.441,Myripristis murdjan
naja_naja,35670,0.373,Naja naja
neogobius_melanostomus,47308,0.348,Neogobius melanostomus
nothoprocta_perdicaria,30464,0.467,Nothoprocta perdicaria
numida_meleagris,8996,0.5379999999999999,Numida meleagris
oncorhynchus_kisutch,8019,0.467,Oncorhynchus kisutch
oreochromis_niloticus,8128,0.532,Oreochromis niloticus
ornithorhynchus_anatinus,9258,0.534,Ornithorhynchus anatinus
oryctolagus_cuniculus,9986,0.5870000000000001,Oryctolagus cuniculus
oryzias_javanicus,123683,0.441,Oryzias javanicus
oryzias_latipes,8090,0.45299999999999996,Oryzias latipes
panthera_tigris_altaica,74533,0.449,Panthera tigris altaica
parambassis_ranga,210632,0.512,Parambassis ranga
paramormyrops_kingsleyae,1676925,0.48100000000000004,Paramormyrops kingsleyae
parus_major,9157,0.514,Parus major
phascolarctos_cinereus,38626,0.488,Phascolarctos cinereus
