,augustus,geneidblastx,geneid,glimmer,ensembl,snap
amphiprion_percula,27801,21336,35393,41853,23719,40126
anabas_testudineus,20528,17856,24099,27645,23133,25670
anas_platyrhynchos,21269,16814,27388,63177,16658,65463
anser_brachyrhynchus,17058,14254,25513,60213,15398,68795
anser_cygnoides,17054,14172,25347,62336,15312,70081
apteryx_haastii,19199,15356,28209,65829,16482,72327
apteryx_rowi,19591,15592,28801,14640,16085,73226
aquila_chrysaetos_chrysaetos,18024,14568,27646,71348,15991,53566
astatotilapia_calliptera,25342,20444,32248,40051,26862,41216
astyanax_mexicanus,30268,22751,37798,52429,26435,62795
athene_cunicularia,12843,12110,20603,52555,13679,66649
balaenoptera_musculus,19622,21422,26014,183096,19245,143479
betta_splendens,26199,19827,36364,52525,22263,51910
bos_grunniens,20504,22722,28721,196916,20740,201981
bos_taurus,20544,22467,27970,170821,21626,187636
cairina_moschata_domestica,16051,14300,23165,57308,15763,55999
calidris_pugnax,16150,15016,24060,67473,16298,48782
camarhynchus_parvulus,14672,13999,20622,55493,15713,44537
canis_lupus_dingo,20818,23077,26165,151033,21014,112674
canis_lupus_familiaris,20974,22820,27853,169394,19949,158684
catharus_ustulatus,17223,14997,23736,62704,16653,47397
cavia_aperea,15976,17663,24567,132015,13954,93447
cavia_porcellus,21770,21899,35395,142037,17959,126011
chinchilla_lanigera,21443,21622,33419,161231,17665,88523
chlorocebus_sabaeus,20363,24311,27501,113959,18969,196467
clupea_harengus,23853,20430,31220,109074,23943,40645
corvus_moneduloides,15552,14108,22523,55429,15236,59122
cottoperca_gobio,22670,18519,28289,32844,21475,29176
coturnix_japonica,15006,13872,20094,40495,15609,45310
crocodylus_porosus,28906,16927,66774,162260,15080,115277
cyclopterus_lumpus,24387,19450,30759,45462,21358,33971
danio_rerio,20785,19706,25435,30129,25121,59344
denticeps_clupeoides,28694,22725,39408,72191,23966,51668
dicentrarchus_labrax,22518,19390,27270,32334,23193,33359
dromaius_novaehollandiae,18591,14420,25647,7747,15491,69386
echeneis_naucrates,20863,17921,26819,30467,21480,29742
equus_caballus,20969,21438,29400,178353,20714,167844
erpetoichthys_calabaricus,62172,33190,117302,154449,22162,110423
esox_lucius,21801,19346,27784,38498,24732,40577
felis_catus,21885,21267,30856,79270,19370,120699
gadus_morhua,30838,22983,40308,103015,23376,54597
gallus_gallus,17727,14931,23492,51400,16640,65105
gambusia_affinis,24037,19690,29418,33899,21516,53668
gasterosteus_aculeatus,26904,20755,36370,53652,20719,45600
gopherus_evgoodei,19781,18999,29093,106480,19587,90018
gouania_willdenowi,28889,21991,37003,43273,23029,52040
homo_sapiens,21160,25509,28151,50599,19549,116517
junco_hyemalis,13929,13094,19818,56590,14396,65082
kryptolebias_marmoratus,25255,20738,32176,39681,21773,50414
lepidothrix_coronata,14073,13643,20281,51785,15176,56184
lepisosteus_oculatus,20631,16738,31197,48545,18262,52923
